match_id,ID,first name,last name,team_name,minute,own goal,penalty,match_period
M-2022-01,P-75912,Enner,Valencia,Ecuador,16',0,1,first half
M-2022-01,P-75912,Enner,Valencia,Ecuador,31',0,0,first half
M-2022-02,P-15674,Jude,Bellingham,England,35',0,0,first half
M-2022-02,P-76842,Bukayo,Saka,England,43',0,0,first half
M-2022-02,P-21553,Raheem,Sterling,England,45'+1',0,0,"first half, stoppage time"
M-2022-02,P-76842,Bukayo,Saka,England,62',0,0,second half
M-2022-02,P-85860,Mehdi,Taremi,Iran,65',0,0,second half
M-2022-02,P-59837,Marcus,Rashford,England,71',0,0,second half
M-2022-02,P-21153,Jack,Grealish,England,90',0,0,second half
M-2022-02,P-85860,Mehdi,Taremi,Iran,90'+13',0,1,"second half, stoppage time"
M-2022-03,P-28911,Cody,Gakpo,Netherlands,84',0,0,second half
M-2022-03,P-42078,Davy,Klaassen,Netherlands,90'+9',0,0,"second half, stoppage time"
M-2022-04,P-30252,Timothy,Weah,United States,36',0,0,first half
M-2022-04,P-63927,Gareth,Bale,Wales,82',0,1,second half
M-2022-05,P-14758,Lionel,Messi,Argentina,10',0,1,first half
M-2022-05,P-37308,Saleh,Al-Shehri,Saudi Arabia,48',0,0,second half
M-2022-05,P-70583,Salem,Al-Dawsari,Saudi Arabia,53',0,0,second half
M-2022-08,P-57401,Adrien,Rabiot,France,27',0,0,first half
M-2022-08,P-89750,Olivier,Giroud,France,32',0,0,first half
M-2022-08,P-64077,Kylian,Mbappé,France,68',0,0,second half
M-2022-08,P-89750,Olivier,Giroud,France,71',0,0,second half
M-2022-08,P-82010,Craig,Goodwin,Australia,9',0,0,first half
M-2022-10,P-08896,Ilkay,Gündogan,Germany,33',0,1,first half
M-2022-10,P-58907,Ritsu,Doan,Japan,75',0,0,second half
M-2022-10,P-46913,Takuma,Asano,Japan,83',0,0,second half
M-2022-11,P-40007,Dani,Olmo,Spain,11',0,0,first half
M-2022-11,P-09400,Marco,Asensio,Spain,21',0,0,first half
M-2022-11,P-31301,Ferran,Torres,Spain,31',0,1,first half
M-2022-11,P-31301,Ferran,Torres,Spain,54',0,0,second half
M-2022-11,P-88433,not applicable,Gavi,Spain,74',0,0,second half
M-2022-11,P-30405,Carlos,Soler,Spain,90',0,0,second half
M-2022-11,P-29274,Álvaro,Morata,Spain,90'+2',0,0,"second half, stoppage time"
M-2022-12,P-13975,Michy,Batshuayi,Belgium,44',0,0,first half
M-2022-13,P-19075,Breel,Embolo,Switzerland,48',0,0,second half
M-2022-15,P-70442,Cristiano,Ronaldo,Portugal,65',0,1,second half
M-2022-15,P-01945,André,Ayew,Ghana,73',0,0,second half
M-2022-15,P-17931,João,Félix,Portugal,78',0,0,second half
M-2022-15,P-27349,Rafael,Leão,Portugal,80',0,0,second half
M-2022-15,P-72363,Osman,Bukari,Ghana,89',0,0,second half
M-2022-16,P-68016,not applicable,Richarlison,Brazil,62',0,0,second half
M-2022-16,P-68016,not applicable,Richarlison,Brazil,73',0,0,second half
M-2022-17,P-47137,Ramin,Rezaeian,Iran,90'+11',0,0,"second half, stoppage time"
M-2022-17,P-98747,Rouzbeh,Cheshmi,Iran,90'+8',0,0,"second half, stoppage time"
M-2022-18,P-33622,Boulaye,Dia,Senegal,41',0,0,first half
M-2022-18,P-27280,Famara,Diédhiou,Senegal,48',0,0,second half
M-2022-18,P-17048,Mohammed,Muntari,Qatar,78',0,0,second half
M-2022-18,P-88928,Bamba,Dieng,Senegal,84',0,0,second half
M-2022-19,P-75912,Enner,Valencia,Ecuador,49',0,0,second half
M-2022-19,P-28911,Cody,Gakpo,Netherlands,6',0,0,first half
M-2022-21,P-91029,Mitchell,Duke,Australia,23',0,0,first half
M-2022-22,P-32165,Piotr,Zielinski,Poland,39',0,0,first half
M-2022-22,P-00549,Robert,Lewandowski,Poland,82',0,0,second half
M-2022-23,P-64077,Kylian,Mbappé,France,61',0,0,second half
M-2022-23,P-18923,Andreas,Christensen,Denmark,68',0,0,second half
M-2022-23,P-64077,Kylian,Mbappé,France,86',0,0,second half
M-2022-24,P-14758,Lionel,Messi,Argentina,64',0,0,second half
M-2022-24,P-10739,Enzo,Fernández,Argentina,87',0,0,second half
M-2022-25,P-80986,Keysher,Fuller,Costa Rica,81',0,0,second half
M-2022-26,P-26068,Romain,Saïss,Morocco,73',0,0,second half
M-2022-26,P-48295,Zakaria,Aboukhlal,Morocco,90'+2',0,0,"second half, stoppage time"
M-2022-27,P-46358,Alphonso,Davies,Canada,2',0,0,first half
M-2022-27,P-65182,Andrej,Kramaric,Croatia,36',0,0,first half
M-2022-27,P-31643,Marko,Livaja,Croatia,44',0,0,first half
M-2022-27,P-65182,Andrej,Kramaric,Croatia,70',0,0,second half
M-2022-27,P-64353,Lovro,Majer,Croatia,90'+4',0,0,"second half, stoppage time"
M-2022-28,P-29274,Álvaro,Morata,Spain,62',0,0,second half
M-2022-28,P-46246,Niclas,Füllkrug,Germany,83',0,0,second half
M-2022-29,P-59303,Jean-Charles,Castelletto,Cameroon,29',0,0,first half
M-2022-29,P-98435,Strahinja,Pavlovic,Serbia,45'+1',0,0,"first half, stoppage time"
M-2022-29,P-27744,Sergej,Milinkovic-Savic,Serbia,45'+3',0,0,"first half, stoppage time"
M-2022-29,P-85696,Aleksandar,Mitrovic,Serbia,53',0,0,second half
M-2022-29,P-53452,Vincent,Aboubakar,Cameroon,63',0,0,second half
M-2022-29,P-06117,Eric Maxim,Choupo-Moting,Cameroon,66',0,0,second half
M-2022-30,P-50142,Mohammed,Salisu,Ghana,24',0,0,first half
M-2022-30,P-23821,Mohammed,Kudus,Ghana,34',0,0,first half
M-2022-30,P-87169,Cho,Gue-sung,South Korea,58',0,0,second half
M-2022-30,P-87169,Cho,Gue-sung,South Korea,61',0,0,second half
M-2022-30,P-23821,Mohammed,Kudus,Ghana,68',0,0,second half
M-2022-31,P-02305,not applicable,Casemiro,Brazil,83',0,0,second half
M-2022-32,P-39584,Bruno,Fernandes,Portugal,54',0,0,second half
M-2022-32,P-39584,Bruno,Fernandes,Portugal,90'+3',0,1,"second half, stoppage time"
M-2022-33,P-37935,Ismaïla,Sarr,Senegal,44',0,1,first half
M-2022-33,P-82216,Moisés,Caicedo,Ecuador,67',0,0,second half
M-2022-33,P-47321,Kalidou,Koulibaly,Senegal,70',0,0,second half
M-2022-34,P-28911,Cody,Gakpo,Netherlands,26',0,0,first half
M-2022-34,P-17688,Frenkie,de Jong,Netherlands,49',0,0,second half
M-2022-35,P-11737,Christian,Pulisic,United States,38',0,0,first half
M-2022-36,P-59837,Marcus,Rashford,England,50',0,0,second half
M-2022-36,P-10501,Phil,Foden,England,51',0,0,second half
M-2022-36,P-59837,Marcus,Rashford,England,68',0,0,second half
M-2022-37,P-35837,Mathew,Leckie,Australia,60',0,0,second half
M-2022-38,P-42223,Wahbi,Khazri,Tunisia,58',0,0,second half
M-2022-39,P-71343,Alexis,Mac Allister,Argentina,46',0,0,second half
M-2022-39,P-19776,Julián,Álvarez,Argentina,67',0,0,second half
M-2022-40,P-49482,Henry,Martín,Mexico,47',0,0,second half
M-2022-40,P-49806,Luis,Chávez,Mexico,52',0,0,second half
M-2022-40,P-70583,Salem,Al-Dawsari,Saudi Arabia,90'+5',0,0,"second half, stoppage time"
M-2022-41,P-42517,Youssef,En-Nesyri,Morocco,23',0,0,first half
M-2022-41,P-70715,Hakim,Ziyech,Morocco,4',0,0,first half
M-2022-41,P-47490,Nayef,Aguerd,Canada,40',1,0,first half
M-2022-43,P-75989,Serge,Gnabry,Germany,10',0,0,first half
M-2022-43,P-24978,Yeltsin,Tejeda,Costa Rica,58',0,0,second half
M-2022-43,P-65777,Juan Pablo,Vargas,Costa Rica,70',0,0,second half
M-2022-43,P-77743,Kai,Havertz,Germany,73',0,0,second half
M-2022-43,P-77743,Kai,Havertz,Germany,85',0,0,second half
M-2022-43,P-46246,Niclas,Füllkrug,Germany,89',0,0,second half
M-2022-44,P-29274,Álvaro,Morata,Spain,11',0,0,first half
M-2022-44,P-58907,Ritsu,Doan,Japan,48',0,0,second half
M-2022-44,P-82447,Ao,Tanaka,Japan,51',0,0,second half
M-2022-45,P-62594,Giorgian,De Arrascaeta,Uruguay,26',0,0,first half
M-2022-45,P-62594,Giorgian,De Arrascaeta,Uruguay,32',0,0,first half
M-2022-46,P-07259,Young-gwon,Kim,South Korea,27',0,0,first half
M-2022-46,P-05304,Ricardo,Horta,Portugal,5',0,0,first half
M-2022-46,P-58692,Hee-chan,Hwang,South Korea,90'+1',0,0,"second half, stoppage time"
M-2022-47,P-53452,Vincent,Aboubakar,Cameroon,90'+2',0,0,"second half, stoppage time"
M-2022-48,P-39460,Xherdan,Shaqiri,Switzerland,20',0,0,first half
M-2022-48,P-85696,Aleksandar,Mitrovic,Serbia,26',0,0,first half
M-2022-48,P-63293,Dušan,Vlahovic,Serbia,35',0,0,first half
M-2022-48,P-19075,Breel,Embolo,Switzerland,44',0,0,first half
M-2022-48,P-68060,Remo,Freuler,Switzerland,48',0,0,second half
M-2022-49,P-27540,Memphis,Depay,Netherlands,10',0,0,first half
M-2022-49,P-39861,Daley,Blind,Netherlands,45'+1',0,0,"first half, stoppage time"
M-2022-49,P-68131,Haji,Wright,United States,76',0,0,second half
M-2022-49,P-97615,Denzel,Dumfries,Netherlands,81',0,0,second half
M-2022-50,P-14758,Lionel,Messi,Argentina,35',0,0,first half
M-2022-50,P-19776,Julián,Álvarez,Argentina,57',0,0,second half
M-2022-50,P-10739,Enzo,Fernández,Australia,77',1,0,second half
M-2022-51,P-89750,Olivier,Giroud,France,44',0,0,first half
M-2022-51,P-64077,Kylian,Mbappé,France,74',0,0,second half
M-2022-51,P-64077,Kylian,Mbappé,France,90'+1',0,0,"second half, stoppage time"
M-2022-51,P-00549,Robert,Lewandowski,Poland,90'+9',0,1,"second half, stoppage time"
M-2022-52,P-08169,Jordan,Henderson,England,38',0,0,first half
M-2022-52,P-58924,Harry,Kane,England,45'+3',0,0,"first half, stoppage time"
M-2022-52,P-76842,Bukayo,Saka,England,57',0,0,second half
M-2022-53,P-30206,Daizen,Maeda,Japan,43',0,0,first half
M-2022-53,P-93884,Ivan,Perišic,Croatia,55',0,0,second half
M-2022-54,P-87008,not applicable,Neymar,Brazil,13',0,1,first half
M-2022-54,P-68016,not applicable,Richarlison,Brazil,29',0,0,first half
M-2022-54,P-05164,Lucas,Paquetá,Brazil,36',0,0,first half
M-2022-54,P-92812,Vinícius,Júnior,Brazil,7',0,0,first half
M-2022-54,P-32599,Paik,Seung-ho,South Korea,76',0,0,second half
M-2022-56,P-41647,Gonçalo,Ramos,Portugal,17',0,0,first half
M-2022-56,P-81972,not applicable,Pepe,Portugal,33',0,0,first half
M-2022-56,P-41647,Gonçalo,Ramos,Portugal,51',0,0,second half
M-2022-56,P-67578,Raphaël,Guerreiro,Portugal,55',0,0,second half
M-2022-56,P-23925,Manuel,Akanji,Switzerland,58',0,0,second half
M-2022-56,P-41647,Gonçalo,Ramos,Portugal,67',0,0,second half
M-2022-56,P-27349,Rafael,Leão,Portugal,90'+2',0,0,"second half, stoppage time"
M-2022-57,P-87008,not applicable,Neymar,Brazil,105'+1',0,0,"extra time, first half, stoppage time"
M-2022-57,P-46461,Bruno,Petkovic,Croatia,117',0,0,"extra time, second half"
M-2022-58,P-84430,Nahuel,Molina,Argentina,35',0,0,first half
M-2022-58,P-14758,Lionel,Messi,Argentina,73',0,1,second half
M-2022-58,P-95036,Wout,Weghorst,Netherlands,83',0,0,second half
M-2022-58,P-95036,Wout,Weghorst,Netherlands,90'+11',0,0,"second half, stoppage time"
M-2022-59,P-42517,Youssef,En-Nesyri,Morocco,42',0,0,first half
M-2022-60,P-54517,Aurélien,Tchouaméni,France,17',0,0,first half
M-2022-60,P-58924,Harry,Kane,England,54',0,1,second half
M-2022-60,P-89750,Olivier,Giroud,France,78',0,0,second half
M-2022-61,P-14758,Lionel,Messi,Argentina,34',0,1,first half
M-2022-61,P-19776,Julián,Álvarez,Argentina,39',0,0,first half
M-2022-61,P-19776,Julián,Álvarez,Argentina,69',0,0,second half
M-2022-62,P-09867,Théo,Hernandez,France,5',0,0,first half
M-2022-62,P-92987,Randal,Kolo Muani,France,79',0,0,second half
M-2022-63,P-26942,Mislav,Oršic,Croatia,42',0,0,first half
M-2022-63,P-58420,Joško,Gvardiol,Croatia,7',0,0,first half
M-2022-63,P-52013,Achraf,Dari,Morocco,9',0,0,first half
M-2022-64,P-14758,Lionel,Messi,Argentina,108',0,0,"extra time, second half"
M-2022-64,P-64077,Kylian,Mbappé,France,118',0,1,"extra time, second half"
M-2022-64,P-14758,Lionel,Messi,Argentina,23',0,1,first half
M-2022-64,P-42113,Ángel,Di María,Argentina,36',0,0,first half
M-2022-64,P-64077,Kylian,Mbappé,France,80',0,1,second half
M-2022-64,P-64077,Kylian,Mbappé,France,81',0,0,second half
