match_id,stage_name,group_name,home team,away team,station name,city,country,capacity,date,time
M-2022-01,group stage,Group A,Qatar,Ecuador,Al Bayt Stadium,Al Khor,Qatar,69000,2022-11-20,19:00
M-2022-02,group stage,Group B,England,Iran,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-11-21,16:00
M-2022-03,group stage,Group A,Senegal,Netherlands,Al Thumama Stadium,Doha,Qatar,44000,2022-11-21,19:00
M-2022-04,group stage,Group B,United States,Wales,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-11-21,22:00
M-2022-05,group stage,Group C,Argentina,Saudi Arabia,Lusail Stadium,Lusail,Qatar,89000,2022-11-22,13:00
M-2022-06,group stage,Group D,Denmark,Tunisia,Education City Stadium,Al Rayyan,Qatar,45000,2022-11-22,16:00
M-2022-07,group stage,Group C,Mexico,Poland,Stadium 974,Doha,Qatar,44000,2022-11-22,19:00
M-2022-08,group stage,Group D,France,Australia,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-11-22,22:00
M-2022-09,group stage,Group F,Morocco,Croatia,Al Bayt Stadium,Al Khor,Qatar,69000,2022-11-23,13:00
M-2022-10,group stage,Group E,Germany,Japan,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-11-23,16:00
M-2022-11,group stage,Group E,Spain,Costa Rica,Al Thumama Stadium,Doha,Qatar,44000,2022-11-23,19:00
M-2022-12,group stage,Group F,Belgium,Canada,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-11-23,22:00
M-2022-13,group stage,Group G,Switzerland,Cameroon,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-11-24,13:00
M-2022-14,group stage,Group H,Uruguay,South Korea,Education City Stadium,Al Rayyan,Qatar,45000,2022-11-24,16:00
M-2022-15,group stage,Group H,Portugal,Ghana,Stadium 974,Doha,Qatar,44000,2022-11-24,19:00
M-2022-16,group stage,Group G,Brazil,Serbia,Lusail Stadium,Lusail,Qatar,89000,2022-11-24,22:00
M-2022-17,group stage,Group B,Wales,Iran,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-11-25,13:00
M-2022-18,group stage,Group A,Qatar,Senegal,Al Thumama Stadium,Doha,Qatar,44000,2022-11-25,16:00
M-2022-19,group stage,Group A,Netherlands,Ecuador,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-11-25,19:00
M-2022-20,group stage,Group B,England,United States,Al Bayt Stadium,Al Khor,Qatar,69000,2022-11-25,22:00
M-2022-21,group stage,Group D,Tunisia,Australia,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-11-26,13:00
M-2022-22,group stage,Group C,Poland,Saudi Arabia,Education City Stadium,Al Rayyan,Qatar,45000,2022-11-26,16:00
M-2022-23,group stage,Group D,France,Denmark,Stadium 974,Doha,Qatar,44000,2022-11-26,19:00
M-2022-24,group stage,Group C,Argentina,Mexico,Lusail Stadium,Lusail,Qatar,89000,2022-11-26,22:00
M-2022-25,group stage,Group E,Japan,Costa Rica,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-11-27,13:00
M-2022-26,group stage,Group F,Belgium,Morocco,Al Thumama Stadium,Doha,Qatar,44000,2022-11-27,16:00
M-2022-27,group stage,Group F,Croatia,Canada,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-11-27,19:00
M-2022-28,group stage,Group E,Spain,Germany,Al Bayt Stadium,Al Khor,Qatar,69000,2022-11-27,22:00
M-2022-29,group stage,Group G,Cameroon,Serbia,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-11-28,13:00
M-2022-30,group stage,Group H,South Korea,Ghana,Education City Stadium,Al Rayyan,Qatar,45000,2022-11-28,16:00
M-2022-31,group stage,Group G,Brazil,Switzerland,Stadium 974,Doha,Qatar,44000,2022-11-28,19:00
M-2022-32,group stage,Group H,Portugal,Uruguay,Lusail Stadium,Lusail,Qatar,89000,2022-11-28,22:00
M-2022-34,group stage,Group A,Netherlands,Qatar,Al Bayt Stadium,Al Khor,Qatar,69000,2022-11-29,18:00
M-2022-33,group stage,Group A,Ecuador,Senegal,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-11-29,18:00
M-2022-36,group stage,Group B,Wales,England,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-11-29,22:00
M-2022-35,group stage,Group B,Iran,United States,Al Thumama Stadium,Doha,Qatar,44000,2022-11-29,22:00
M-2022-37,group stage,Group D,Australia,Denmark,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-11-30,18:00
M-2022-38,group stage,Group D,Tunisia,France,Education City Stadium,Al Rayyan,Qatar,45000,2022-11-30,18:00
M-2022-40,group stage,Group C,Saudi Arabia,Mexico,Lusail Stadium,Lusail,Qatar,89000,2022-11-30,22:00
M-2022-39,group stage,Group C,Poland,Argentina,Stadium 974,Doha,Qatar,44000,2022-11-30,22:00
M-2022-42,group stage,Group F,Croatia,Belgium,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-12-01,18:00
M-2022-41,group stage,Group F,Canada,Morocco,Al Thumama Stadium,Doha,Qatar,44000,2022-12-01,18:00
M-2022-43,group stage,Group E,Costa Rica,Germany,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-01,22:00
M-2022-44,group stage,Group E,Japan,Spain,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-12-01,22:00
M-2022-45,group stage,Group H,Ghana,Uruguay,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-12-02,18:00
M-2022-46,group stage,Group H,South Korea,Portugal,Education City Stadium,Al Rayyan,Qatar,45000,2022-12-02,18:00
M-2022-47,group stage,Group G,Cameroon,Brazil,Lusail Stadium,Lusail,Qatar,89000,2022-12-02,22:00
M-2022-48,group stage,Group G,Serbia,Switzerland,Stadium 974,Doha,Qatar,44000,2022-12-02,22:00
M-2022-49,round of 16,not applicable,Netherlands,United States,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-12-03,18:00
M-2022-50,round of 16,not applicable,Argentina,Australia,Ahmad bin Ali Stadium,Al Rayyan,Qatar,45000,2022-12-03,22:00
M-2022-51,round of 16,not applicable,France,Poland,Al Thumama Stadium,Doha,Qatar,44000,2022-12-04,18:00
M-2022-52,round of 16,not applicable,England,Senegal,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-04,22:00
M-2022-53,round of 16,not applicable,Japan,Croatia,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-12-05,18:00
M-2022-54,round of 16,not applicable,Brazil,South Korea,Stadium 974,Doha,Qatar,44000,2022-12-05,22:00
M-2022-55,round of 16,not applicable,Morocco,Spain,Education City Stadium,Al Rayyan,Qatar,45000,2022-12-06,18:00
M-2022-56,round of 16,not applicable,Portugal,Switzerland,Lusail Stadium,Lusail,Qatar,89000,2022-12-06,22:00
M-2022-57,quarter-finals,not applicable,Croatia,Brazil,Education City Stadium,Al Rayyan,Qatar,45000,2022-12-09,18:00
M-2022-58,quarter-finals,not applicable,Netherlands,Argentina,Lusail Stadium,Lusail,Qatar,89000,2022-12-09,22:00
M-2022-59,quarter-finals,not applicable,Morocco,Portugal,Al Thumama Stadium,Doha,Qatar,44000,2022-12-10,18:00
M-2022-60,quarter-finals,not applicable,England,France,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-10,22:00
M-2022-61,semi-finals,not applicable,Argentina,Croatia,Lusail Stadium,Lusail,Qatar,89000,2022-12-13,22:00
M-2022-62,semi-finals,not applicable,France,Morocco,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-14,22:00
M-2022-63,third-place match,not applicable,Croatia,Morocco,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-12-17,18:00
M-2022-64,final,not applicable,Argentina,France,Lusail Stadium,Lusail,Qatar,89000,2022-12-18,18:00
