goal_id,match_id,ID,minute,own goal,penalty,match_period
G-1,M-2022-01,P-75912,16',0,1,first half
G-2,M-2022-01,P-75912,31',0,0,first half
G-3,M-2022-02,P-15674,35',0,0,first half
G-4,M-2022-02,P-76842,43',0,0,first half
G-5,M-2022-02,P-21553,45'+1',0,0,"first half, stoppage time"
G-6,M-2022-02,P-76842,62',0,0,second half
G-7,M-2022-02,P-85860,65',0,0,second half
G-8,M-2022-02,P-59837,71',0,0,second half
G-9,M-2022-02,P-21153,90',0,0,second half
G-10,M-2022-02,P-85860,90'+13',0,1,"second half, stoppage time"
G-11,M-2022-03,P-28911,84',0,0,second half
G-12,M-2022-03,P-42078,90'+9',0,0,"second half, stoppage time"
G-13,M-2022-04,P-30252,36',0,0,first half
G-14,M-2022-04,P-63927,82',0,1,second half
G-15,M-2022-05,P-14758,10',0,1,first half
G-16,M-2022-05,P-37308,48',0,0,second half
G-17,M-2022-05,P-70583,53',0,0,second half
G-18,M-2022-08,P-57401,27',0,0,first half
G-19,M-2022-08,P-89750,32',0,0,first half
G-20,M-2022-08,P-64077,68',0,0,second half
G-21,M-2022-08,P-89750,71',0,0,second half
G-22,M-2022-08,P-82010,9',0,0,first half
G-23,M-2022-10,P-08896,33',0,1,first half
G-24,M-2022-10,P-58907,75',0,0,second half
G-25,M-2022-10,P-46913,83',0,0,second half
G-26,M-2022-11,P-40007,11',0,0,first half
G-27,M-2022-11,P-09400,21',0,0,first half
G-28,M-2022-11,P-31301,31',0,1,first half
G-29,M-2022-11,P-31301,54',0,0,second half
G-30,M-2022-11,P-88433,74',0,0,second half
G-31,M-2022-11,P-30405,90',0,0,second half
G-32,M-2022-11,P-29274,90'+2',0,0,"second half, stoppage time"
G-33,M-2022-12,P-13975,44',0,0,first half
G-34,M-2022-13,P-19075,48',0,0,second half
G-35,M-2022-15,P-70442,65',0,1,second half
G-36,M-2022-15,P-01945,73',0,0,second half
G-37,M-2022-15,P-17931,78',0,0,second half
G-38,M-2022-15,P-27349,80',0,0,second half
G-39,M-2022-15,P-72363,89',0,0,second half
G-40,M-2022-16,P-68016,62',0,0,second half
G-41,M-2022-16,P-68016,73',0,0,second half
G-42,M-2022-17,P-47137,90'+11',0,0,"second half, stoppage time"
G-43,M-2022-17,P-98747,90'+8',0,0,"second half, stoppage time"
G-44,M-2022-18,P-33622,41',0,0,first half
G-45,M-2022-18,P-27280,48',0,0,second half
G-46,M-2022-18,P-17048,78',0,0,second half
G-47,M-2022-18,P-88928,84',0,0,second half
G-48,M-2022-19,P-75912,49',0,0,second half
G-49,M-2022-19,P-28911,6',0,0,first half
G-50,M-2022-21,P-91029,23',0,0,first half
G-51,M-2022-22,P-32165,39',0,0,first half
G-52,M-2022-22,P-00549,82',0,0,second half
G-53,M-2022-23,P-64077,61',0,0,second half
G-54,M-2022-23,P-18923,68',0,0,second half
G-55,M-2022-23,P-64077,86',0,0,second half
G-56,M-2022-24,P-14758,64',0,0,second half
G-57,M-2022-24,P-10739,87',0,0,second half
G-58,M-2022-25,P-80986,81',0,0,second half
G-59,M-2022-26,P-26068,73',0,0,second half
G-60,M-2022-26,P-48295,90'+2',0,0,"second half, stoppage time"
G-61,M-2022-27,P-46358,2',0,0,first half
G-62,M-2022-27,P-65182,36',0,0,first half
G-63,M-2022-27,P-31643,44',0,0,first half
G-64,M-2022-27,P-65182,70',0,0,second half
G-65,M-2022-27,P-64353,90'+4',0,0,"second half, stoppage time"
G-66,M-2022-28,P-29274,62',0,0,second half
G-67,M-2022-28,P-46246,83',0,0,second half
G-68,M-2022-29,P-59303,29',0,0,first half
G-69,M-2022-29,P-98435,45'+1',0,0,"first half, stoppage time"
G-70,M-2022-29,P-27744,45'+3',0,0,"first half, stoppage time"
G-71,M-2022-29,P-85696,53',0,0,second half
G-72,M-2022-29,P-53452,63',0,0,second half
G-73,M-2022-29,P-06117,66',0,0,second half
G-74,M-2022-30,P-50142,24',0,0,first half
G-75,M-2022-30,P-23821,34',0,0,first half
G-76,M-2022-30,P-87169,58',0,0,second half
G-77,M-2022-30,P-87169,61',0,0,second half
G-78,M-2022-30,P-23821,68',0,0,second half
G-79,M-2022-31,P-02305,83',0,0,second half
G-80,M-2022-32,P-39584,54',0,0,second half
G-81,M-2022-32,P-39584,90'+3',0,1,"second half, stoppage time"
G-82,M-2022-33,P-37935,44',0,1,first half
G-83,M-2022-33,P-82216,67',0,0,second half
G-84,M-2022-33,P-47321,70',0,0,second half
G-85,M-2022-34,P-28911,26',0,0,first half
G-86,M-2022-34,P-17688,49',0,0,second half
G-87,M-2022-35,P-11737,38',0,0,first half
G-88,M-2022-36,P-59837,50',0,0,second half
G-89,M-2022-36,P-10501,51',0,0,second half
G-90,M-2022-36,P-59837,68',0,0,second half
G-91,M-2022-37,P-35837,60',0,0,second half
G-92,M-2022-38,P-42223,58',0,0,second half
G-93,M-2022-39,P-71343,46',0,0,second half
G-94,M-2022-39,P-19776,67',0,0,second half
G-95,M-2022-40,P-49482,47',0,0,second half
G-96,M-2022-40,P-49806,52',0,0,second half
G-97,M-2022-40,P-70583,90'+5',0,0,"second half, stoppage time"
G-98,M-2022-41,P-42517,23',0,0,first half
G-99,M-2022-41,P-70715,4',0,0,first half
G-100,M-2022-41,P-47490,40',1,0,first half
G-101,M-2022-43,P-75989,10',0,0,first half
G-102,M-2022-43,P-24978,58',0,0,second half
G-103,M-2022-43,P-65777,70',0,0,second half
G-104,M-2022-43,P-77743,73',0,0,second half
G-105,M-2022-43,P-77743,85',0,0,second half
G-106,M-2022-43,P-46246,89',0,0,second half
G-107,M-2022-44,P-29274,11',0,0,first half
G-108,M-2022-44,P-58907,48',0,0,second half
G-109,M-2022-44,P-82447,51',0,0,second half
G-110,M-2022-45,P-62594,26',0,0,first half
G-111,M-2022-45,P-62594,32',0,0,first half
G-112,M-2022-46,P-07259,27',0,0,first half
G-113,M-2022-46,P-05304,5',0,0,first half
G-114,M-2022-46,P-58692,90'+1',0,0,"second half, stoppage time"
G-115,M-2022-47,P-53452,90'+2',0,0,"second half, stoppage time"
G-116,M-2022-48,P-39460,20',0,0,first half
G-117,M-2022-48,P-85696,26',0,0,first half
G-118,M-2022-48,P-63293,35',0,0,first half
G-119,M-2022-48,P-19075,44',0,0,first half
G-120,M-2022-48,P-68060,48',0,0,second half
G-121,M-2022-49,P-27540,10',0,0,first half
G-122,M-2022-49,P-39861,45'+1',0,0,"first half, stoppage time"
G-123,M-2022-49,P-68131,76',0,0,second half
G-124,M-2022-49,P-97615,81',0,0,second half
G-125,M-2022-50,P-14758,35',0,0,first half
G-126,M-2022-50,P-19776,57',0,0,second half
G-127,M-2022-50,P-10739,77',1,0,second half
G-128,M-2022-51,P-89750,44',0,0,first half
G-129,M-2022-51,P-64077,74',0,0,second half
G-130,M-2022-51,P-64077,90'+1',0,0,"second half, stoppage time"
G-131,M-2022-51,P-00549,90'+9',0,1,"second half, stoppage time"
G-132,M-2022-52,P-08169,38',0,0,first half
G-133,M-2022-52,P-58924,45'+3',0,0,"first half, stoppage time"
G-134,M-2022-52,P-76842,57',0,0,second half
G-135,M-2022-53,P-30206,43',0,0,first half
G-136,M-2022-53,P-93884,55',0,0,second half
G-137,M-2022-54,P-87008,13',0,1,first half
G-138,M-2022-54,P-68016,29',0,0,first half
G-139,M-2022-54,P-05164,36',0,0,first half
G-140,M-2022-54,P-92812,7',0,0,first half
G-141,M-2022-54,P-32599,76',0,0,second half
G-142,M-2022-56,P-41647,17',0,0,first half
G-143,M-2022-56,P-81972,33',0,0,first half
G-144,M-2022-56,P-41647,51',0,0,second half
G-145,M-2022-56,P-67578,55',0,0,second half
G-146,M-2022-56,P-23925,58',0,0,second half
G-147,M-2022-56,P-41647,67',0,0,second half
G-148,M-2022-56,P-27349,90'+2',0,0,"second half, stoppage time"
G-149,M-2022-57,P-87008,105'+1',0,0,"extra time, first half, stoppage time"
G-150,M-2022-57,P-46461,117',0,0,"extra time, second half"
G-151,M-2022-58,P-84430,35',0,0,first half
G-152,M-2022-58,P-14758,73',0,1,second half
G-153,M-2022-58,P-95036,83',0,0,second half
G-154,M-2022-58,P-95036,90'+11',0,0,"second half, stoppage time"
G-155,M-2022-59,P-42517,42',0,0,first half
G-156,M-2022-60,P-54517,17',0,0,first half
G-157,M-2022-60,P-58924,54',0,1,second half
G-158,M-2022-60,P-89750,78',0,0,second half
G-159,M-2022-61,P-14758,34',0,1,first half
G-160,M-2022-61,P-19776,39',0,0,first half
G-161,M-2022-61,P-19776,69',0,0,second half
G-162,M-2022-62,P-09867,5',0,0,first half
G-163,M-2022-62,P-92987,79',0,0,second half
G-164,M-2022-63,P-26942,42',0,0,first half
G-165,M-2022-63,P-58420,7',0,0,first half
G-166,M-2022-63,P-52013,9',0,0,first half
G-167,M-2022-64,P-14758,108',0,0,"extra time, second half"
G-168,M-2022-64,P-64077,118',0,1,"extra time, second half"
G-169,M-2022-64,P-14758,23',0,1,first half
G-170,M-2022-64,P-42113,36',0,0,first half
G-171,M-2022-64,P-64077,80',0,1,second half
G-172,M-2022-64,P-64077,81',0,0,second half
