match_id,ID,stadium_id,tournament_id,home_team_id,away_team__id,time,date,stage_name,,,,,,,,,,,,,,,,,,,,,,city,country,capacity,date,time,stage_name,,station name,station_id
M-2022-01,R-327,ST-1,TT-1,T-3,T-1,19:00,11/20/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/20/2022,19:00,group stage,,Al Bayt Stadium,ST-1
M-2022-02,R-093,ST-2,TT-1,T-5,T-6,16:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/21/2022,16:00,group stage,,Khalifa International Stadium,ST-2
M-2022-03,R-386,ST-3,TT-1,T-4,T-2,19:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/21/2022,19:00,group stage,,Al Thumama Stadium,ST-3
M-2022-04,R-013,ST-4,TT-1,T-7,T-8,22:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/21/2022,22:00,group stage,,Ahmad bin Ali Stadium,ST-4
M-2022-05,R-468,ST-5,TT-1,T-9,T-12,13:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/22/2022,13:00,group stage,,Lusail Stadium,ST-5
M-2022-06,R-362,ST-6,TT-1,T-14,T-16,16:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/22/2022,16:00,group stage,,Education City Stadium,ST-6
M-2022-07,R-047,ST-7,TT-1,T-10,T-11,19:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/22/2022,19:00,group stage,,Stadium 974,ST-7
M-2022-08,R-173,ST-8,TT-1,T-15,T-13,22:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/22/2022,22:00,group stage,,Al Janoub Stadium,ST-8
M-2022-09,R-364,ST-1,TT-1,T-24,T-23,13:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/23/2022,13:00,group stage,,,
M-2022-10,R-044,ST-2,TT-1,T-18,T-19,16:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/23/2022,16:00,group stage,,,
M-2022-11,R-188,ST-3,TT-1,T-20,T-17,19:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/23/2022,19:00,group stage,,,
M-2022-12,R-405,ST-4,TT-1,T-21,T-22,22:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/23/2022,22:00,group stage,,,
M-2022-13,R-432,ST-8,TT-1,T-28,T-26,13:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/24/2022,13:00,group stage,,,
M-2022-14,R-441,ST-6,TT-1,T-32,T-31,16:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/24/2022,16:00,group stage,,,
M-2022-15,R-136,ST-7,TT-1,T-30,T-29,19:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/24/2022,19:00,group stage,,,
M-2022-16,R-147,ST-5,TT-1,T-25,T-27,22:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/24/2022,22:00,group stage,,,
M-2022-17,R-144,ST-4,TT-1,T-8,T-6,13:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/25/2022,13:00,group stage,,,
M-2022-18,R-279,ST-3,TT-1,T-3,T-4,16:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/25/2022,16:00,group stage,,,
M-2022-19,R-170,ST-2,TT-1,T-2,T-1,19:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/25/2022,19:00,group stage,,,
M-2022-20,R-448,ST-1,TT-1,T-5,T-7,22:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/25/2022,22:00,group stage,,,
M-2022-21,R-404,ST-8,TT-1,T-16,T-13,13:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/26/2022,13:00,group stage,,,
M-2022-22,R-386,ST-6,TT-1,T-11,T-12,16:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/26/2022,16:00,group stage,,,
M-2022-23,R-269,ST-7,TT-1,T-15,T-14,19:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/26/2022,19:00,group stage,,,
M-2022-24,R-327,ST-5,TT-1,T-9,T-10,22:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/26/2022,22:00,group stage,,,
M-2022-25,R-325,ST-4,TT-1,T-19,T-17,13:00,11/27/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/27/2022,13:00,group stage,,,
M-2022-26,R-362,ST-3,TT-1,T-21,T-24,16:00,11/27/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/27/2022,16:00,group stage,,,
M-2022-27,R-282,ST-2,TT-1,T-23,T-22,19:00,11/27/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/27/2022,19:00,group stage,,,
M-2022-28,R-265,ST-1,TT-1,T-20,T-18,22:00,11/27/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/27/2022,22:00,group stage,,,
M-2022-29,R-188,ST-8,TT-1,T-26,T-27,13:00,11/28/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/28/2022,13:00,group stage,,,
M-2022-30,R-428,ST-6,TT-1,T-31,T-29,16:00,11/28/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/28/2022,16:00,group stage,,,
M-2022-31,R-044,ST-7,TT-1,T-25,T-28,19:00,11/28/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/28/2022,19:00,group stage,,,
M-2022-32,R-147,ST-5,TT-1,T-30,T-32,22:00,11/28/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/28/2022,22:00,group stage,,,
M-2022-33,R-441,ST-1,TT-1,T-2,T-3,18:00,11/29/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/29/2022,18:00,group stage,,,
M-2022-34,R-167,ST-2,TT-1,T-1,T-4,18:00,11/29/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/29/2022,18:00,group stage,,,
M-2022-35,R-279,ST-4,TT-1,T-8,T-5,22:00,11/29/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/29/2022,22:00,group stage,,,
M-2022-36,R-468,ST-3,TT-1,T-6,T-7,22:00,11/29/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/29/2022,22:00,group stage,,,
M-2022-37,R-170,ST-8,TT-1,T-13,T-14,18:00,11/30/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/30/2022,18:00,group stage,,,
M-2022-38,R-099,ST-6,TT-1,T-16,T-15,18:00,11/30/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/30/2022,18:00,group stage,,,
M-2022-39,R-265,ST-5,TT-1,T-12,T-10,22:00,11/30/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/30/2022,22:00,group stage,,,
M-2022-40,R-325,ST-7,TT-1,T-11,T-9,22:00,11/30/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/30/2022,22:00,group stage,,,
M-2022-41,R-093,ST-4,TT-1,T-23,T-21,18:00,12/1/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,12/1/2022,18:00,group stage,,,
M-2022-42,R-428,ST-3,TT-1,T-22,T-24,18:00,12/1/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,12/1/2022,18:00,group stage,,,
M-2022-43,R-153,ST-1,TT-1,T-17,T-18,22:00,12/1/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,12/1/2022,22:00,group stage,,,
M-2022-44,R-173,ST-2,TT-1,T-19,T-20,22:00,12/1/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,12/1/2022,22:00,group stage,,,
M-2022-45,R-404,ST-8,TT-1,T-29,T-32,18:00,12/2/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,12/2/2022,18:00,group stage,,,
M-2022-46,R-432,ST-6,TT-1,T-31,T-30,18:00,12/2/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,12/2/2022,18:00,group stage,,,
M-2022-47,R-136,ST-5,TT-1,T-26,T-25,22:00,12/2/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,12/2/2022,22:00,group stage,,,
M-2022-48,R-364,ST-7,TT-1,T-27,T-28,22:00,12/2/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,12/2/2022,22:00,group stage,,,
M-2022-49,R-386,ST-2,TT-1,T-2,T-7,18:00,12/3/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,12/3/2022,18:00,round of 16,,,
M-2022-50,R-269,ST-4,TT-1,T-9,T-13,22:00,12/3/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,12/3/2022,22:00,round of 16,,,
M-2022-51,R-448,ST-3,TT-1,T-15,T-11,18:00,12/4/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,12/4/2022,18:00,round of 16,,,
M-2022-52,R-044,ST-1,TT-1,T-5,T-4,22:00,12/4/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,12/4/2022,22:00,round of 16,,,
M-2022-53,R-136,ST-8,TT-1,T-19,T-23,18:00,12/5/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,12/5/2022,18:00,round of 16,,,
M-2022-54,R-441,ST-7,TT-1,T-25,T-31,22:00,12/5/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,12/5/2022,22:00,round of 16,,,
M-2022-55,R-364,ST-6,TT-1,T-24,T-20,18:00,12/6/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,12/6/2022,18:00,round of 16,,,
M-2022-56,R-362,ST-5,TT-1,T-30,T-28,22:00,12/6/2022,round of 16,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,12/6/2022,22:00,round of 16,,,
M-2022-57,R-325,ST-6,TT-1,T-23,T-25,18:00,12/9/2022,quarter-finals,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,12/9/2022,18:00,quarter-finals,,,
M-2022-58,R-279,ST-5,TT-1,T-2,T-9,22:00,12/9/2022,quarter-finals,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,12/9/2022,22:00,quarter-finals,,,
M-2022-59,R-432,ST-3,TT-1,T-24,T-30,18:00,12/10/2022,quarter-finals,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,12/10/2022,18:00,quarter-finals,,,
M-2022-60,R-386,ST-1,TT-1,T-5,T-15,22:00,12/10/2022,quarter-finals,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,12/10/2022,22:00,quarter-finals,,,
M-2022-61,R-327,ST-5,TT-1,T-9,T-23,22:00,12/13/2022,semi-finals,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,12/13/2022,22:00,semi-finals,,,
M-2022-62,R-362,ST-1,TT-1,T-15,T-24,22:00,12/14/2022,semi-finals,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,12/14/2022,22:00,semi-finals,,,
M-2022-63,R-013,ST-2,TT-1,T-23,T-24,18:00,12/17/2022,third-place match,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,12/17/2022,18:00,third-place match,,,
M-2022-64,R-269,ST-5,TT-1,T-9,T-15,18:00,12/18/2022,final,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,12/18/2022,18:00,final,,,
